Date,Opponent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone
10/9/21,Boston University Terriers,0,0,0,1,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
10/8/21,Boston University Terriers,0,0,0,2,2,0,0,2,0,2,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
10/2/21,Sacred Heart Pioneers,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/21,Providence Friars,0,0,0,2,2,0,1,1,0,1,2,0,0,1,0,0,1,0,1,7,0,0,2,0,0,0,0
3/5/21,Providence Friars,1,1,0,3,3,3,0,0,0,2,3,0,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0
2/27/21,Maine Black Bears,0,0,0,2,3,1,0,1,0,1,3,0,3,3,0,1,1,0,0,1,0,0,1,0,0,0,0
2/26/21,Maine Black Bears,0,0,0,0,0,0,1,1,0,1,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0
2/20/21,Boston University Terriers,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0
2/12/21,Providence Friars,0,0,0,0,1,0,3,4,0,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2/9/21,UMass-Lowell River Hawks,1,1,0,1,1,0,1,3,0,2,5,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0
2/5/21,Northeastern Huskies,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/21,Merrimack Warriors,0,0,0,4,4,2,1,2,0,0,1,0,0,2,0,0,1,0,0,2,0,1,3,0,0,0,0
1/29/21,Merrimack Warriors,0,0,0,4,5,0,2,3,0,3,4,1,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0
1/23/21,Boston College Eagles,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0,2,2,1,0,0,0
1/22/21,Boston College Eagles,0,0,0,5,6,0,1,2,0,2,2,0,2,3,0,2,2,0,2,5,0,0,2,0,0,0,0
1/16/21,New Hampshire Wildcats,0,0,0,4,4,3,1,1,1,5,7,0,2,4,0,0,0,0,1,8,0,0,3,0,0,0,0
1/15/21,New Hampshire Wildcats,0,0,0,0,0,0,0,1,0,2,3,2,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0
1/2/21,New Hampshire Wildcats,0,0,0,3,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1/1/21,New Hampshire Wildcats,0,0,0,2,2,0,1,3,0,2,2,0,1,2,0,0,0,0,3,7,0,0,0,0,0,0,0
12/28/20,Providence Friars,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0
12/23/20,Univ. of Massachusetts,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,1,0,1,1,0,0,0,0
12/21/20,UMass-Lowell River Hawks,0,0,0,3,4,1,1,1,0,0,3,0,0,1,0,0,0,0,2,6,0,1,1,0,0,0,0
12/12/20,Boston College Eagles,0,0,0,2,3,0,2,2,0,1,2,0,2,2,0,1,2,0,1,3,0,2,2,0,1,1,0
12/11/20,Boston College Eagles,0,0,0,5,6,0,1,2,0,2,2,0,2,3,0,2,2,0,2,5,0,0,2,0,0,0,0
11/21/20,Univ. of Massachusetts,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
11/20/20,Univ. of Massachusetts,0,0,0,1,2,0,1,2,0,4,4,0,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0
3/6/20,UMass-Lowell River Hawks,0,0,0,2,2,1,3,3,0,1,1,0,1,1,0,0,0,0,1,4,0,0,1,0,0,0,0
2/29/20,Univ. of Massachusetts,0,0,0,0,1,0,2,2,0,3,3,0,0,0,0,1,1,0,1,3,0,2,3,0,0,0,0
2/28/20,Univ. of Massachusetts,0,0,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2/22/20,Boston University Terriers,0,0,0,1,1,0,1,2,0,2,3,1,1,2,0,0,1,0,0,0,0,2,3,0,0,0,0
2/21/20,Boston University Terriers,0,0,0,1,1,1,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2/15/20,Maine Black Bears,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0
2/14/20,Maine Black Bears,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
