Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2022-01-14,Boston University Terriers,1.0,2.0,1,0,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,28.33,9.17,23.33
2022-01-11,American International College,1.0,3.0,0,0,0,71.4,71.4,0,0,0,1,1,0,3,4,0,2,2,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,54.44,7.67,7.67
2022-01-08,Boston College Eagles,5.0,4.0,0,1,1,33.3,66.7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,47.41,12.35,14.34
2022-01-02,Harvard Crimson,3.0,6.0,0,0,0,50.0,40.0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59.92,10.32,8.73
2021-11-27,Colgate Raiders,6.0,1.0,1,1,1,50.0,50.0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,47.14,10.0,12.86
2021-11-21,UMass-Lowell River Hawks,2.0,1.0,1,1,0,57.1,66.7,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,3,0,1,2,0,0,0,0,37.12,11.73,20.19
2021-11-20,UMass-Lowell River Hawks,0.0,3.0,0,0,0,66.7,66.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.53,13.06,27.76
2021-11-06,Maine Black Bears,3.0,2.0,0,1,0,50.0,50.0,0,0,0,3,4,0,0,1,0,0,1,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,68.6,8.19,9.22
2021-11-05,Maine Black Bears,4.0,3.0,0,1,1,66.7,62.5,0,0,0,1,1,1,0,1,0,1,2,0,0,0,0,2,2,1,2,3,0,0,0,0,0,0,0,58.71,9.47,11.74
2021-10-30,Dartmouth Big Green,4.0,1.0,0,1,0,70.0,75.0,0,0,0,4,5,0,0,2,0,3,4,0,2,3,0,2,3,0,1,3,0,0,2,0,0,0,0,51.19,10.83,14.64
2021-10-16,Ohio State Buckeyes,0.0,3.0,0,0,0,66.7,71.4,0,0,0,0,0,0,2,2,0,2,3,0,1,1,0,0,0,0,3,7,0,0,0,0,0,0,0,65.97,6.26,13.78
2021-10-15,Ohio State Buckeyes,3.0,4.0,0,0,1,57.1,50.0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,68.51,4.87,6.17
2021-10-09,Boston University Terriers,5.0,1.0,0,1,0,50.0,60.0,0,0,0,1,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,36.67,8.89,16.67
